parameter,parameter_label,parameter_group,parameter_unit,metric,parameter_low,parameter_baseline,parameter_high,response_low,response_baseline,response_high,signed_response_span,slope_per_unit,signed_effect_pct_span,abs_effect_pct_span,low_delta_from_baseline_pct,high_delta_from_baseline_pct,direction,rank_within_metric
sprung_mass_kg,sprung mass,mass properties,kg,ay_max,144.576,160.64,176.704,18.76603030244963,18.57517363325678,18.36468473603447,-0.4013455664151593,-0.012492080627961874,-2.1606557997207343,2.1606557997207343,1.0274825579618778,-1.1331732417588565,decreases_with_parameter,12
sprung_mass_kg,sprung mass,mass properties,kg,roadwheel_angle_gradient_rad_per_mps2,144.576,160.64,176.704,0.007592858572438858,0.007556410350109951,0.007516077373541915,-7.678119889694291e-05,-2.3898530533162e-06,-1.0161067932980332,1.0161067932980332,0.4823483723111512,-0.5337584209868821,decreases_with_parameter,6
sprung_mass_kg,sprung mass,mass properties,kg,roadwheel_angle_gradient_deg_per_g,144.576,160.64,176.704,4.267731669770422,4.24724515191211,4.224575123253822,-0.043156546516599725,-0.001343269002633208,-1.0161067932980192,1.0161067932980192,0.48234837231113825,-0.533758420986881,decreases_with_parameter,6
sprung_mass_kg,sprung mass,mass properties,kg,handwheel_angle_gradient_rad_per_mps2,144.576,160.64,176.704,0.0311650444697764,0.0310275496973693,0.030879832557220235,-0.00028521191255616654,-8.877362816115738e-06,-0.919221515517703,0.919221515517703,0.443137707450871,-0.476083808066832,decreases_with_parameter,7
sprung_mass_kg,sprung mass,mass properties,kg,handwheel_angle_gradient_deg_per_g,144.576,160.64,176.704,17.51699257987718,17.43971064593472,17.356683007375715,-0.16030957250146471,-0.0049897152795525595,-0.9192215155177109,0.9192215155177109,0.4431377074508597,-0.47608380806685124,decreases_with_parameter,7
sprung_mass_kg,sprung mass,mass properties,kg,sideslip_gradient_rad_per_mps2,144.576,160.64,176.704,0.0010216351338152194,0.0008893884524499339,0.0007587506408038894,-0.00026288449301133,-8.18241076354986e-06,-29.557893661333377,29.557893661333377,14.869394919733347,-14.688498741600027,decreases_with_parameter,4
sprung_mass_kg,sprung mass,mass properties,kg,sideslip_gradient_deg_per_g,144.576,160.64,176.704,0.574232296563491,0.4999001665889719,0.42647233691029435,-0.1477599596531966,-0.00459910232984302,-29.557893661333356,29.557893661333356,14.869394919733331,-14.688498741600023,decreases_with_parameter,4
sprung_mass_kg,sprung mass,mass properties,kg,understeer_gradient_rad_per_mps2,144.576,160.64,176.704,0.0007529163216695716,0.0007014129953022076,0.0006304215284199824,-0.00012249479324958918,-3.8127114432765538e-06,-17.464003956301326,17.464003956301326,7.342796143258433,-10.121207813042894,decreases_with_parameter,3
sprung_mass_kg,sprung mass,mass properties,kg,understeer_gradient_deg_per_g,144.576,160.64,176.704,0.4231930306643624,0.3942444634100774,0.35434216197692764,-0.06885086868743479,-0.0021430175761776257,-17.46400395630131,17.46400395630131,7.342796143258421,-10.121207813042888,decreases_with_parameter,3
sprung_mass_kg,sprung mass,mass properties,kg,roll_gradient_deg_per_g,144.576,160.64,176.704,0.834061136375532,0.8936183079468291,0.9556939968923682,0.1216328605168362,0.0037858833577202483,13.61127669779942,13.61127669779942,-6.664721508239368,6.94655518956005,increases_with_parameter,4
