candidate_id,projected_average_lap_s,projected_terminal_energy_kwh_per_lap,efficiency_factor,efficiency_points,inherited_competition_efficiency_factor,inherited_competition_efficiency_points,pack_aware_cohort_full_dynamic_points_with_inherited_efficiency,pack_aware_cohort_full_dynamic_points_with_inherited_efficiency_rank
ampace_jp50_140s2p,69.37936024410163,0.1049674460628423,1.0584837015973554,100.0,1.0584837015973554,100.0,590.4383012437795,76
tenpower_50xg_140s2p,69.42717576220434,0.1050629184175119,1.0567935096638856,100.0,1.0567935096638856,100.0,589.328620792502,79
tenpower_30xg_115s4p,69.60486006239321,0.1042907595876656,1.0619001970274908,100.0,1.0619001970274908,100.0,599.9816292181723,69
molicel_p50b_140s2p,69.66695585754118,0.1030115117350162,1.0741291477129198,100.0,1.0741291477129198,100.0,596.8742217538452,72
tenpower_60xg_115s2p,69.68715485690751,0.1015998408187473,1.0887378848717006,100.0,1.0887378848717006,100.0,578.5030344961759,89
ampace_jp30_115s4p,69.69303331186698,0.1041633809326132,1.0618536439810953,100.0,1.0618536439810953,100.0,596.7839769590864,73
molicel_p30b_115s4p,69.86392307748658,0.102453897267483,1.0769304194181284,100.0,1.0769304194181284,100.0,590.1650529974246,78
reliance_rs50_135s2p,69.89849338659474,0.1007940225247353,1.0941238983399222,100.0,1.0941238983399222,100.0,584.9213180006001,82
ampace_jp50_135s2p,69.98720049073357,0.1009117489244754,1.09146230550193,100.0,1.09146230550193,100.0,583.0152571966682,83
tenpower_50xg_135s2p,70.03630093013624,0.1009875598673983,1.0898783308172355,100.0,1.0898783308172355,100.0,581.9180304459252,87
molicel_p50b_135s2p,70.26311139362508,0.0991031405037846,1.1070170304573288,100.0,1.1070170304573288,100.0,590.1959003544225,77
tenpower_30xg_110s4p,70.3517138384567,0.0992625949827463,1.1038467677704304,100.0,1.1038467677704304,100.0,592.1048099191563,75
ampace_jp30_110s4p,70.42098461081065,0.09915260800678,1.1039842097667556,100.0,1.1039842097667556,100.0,588.9460933893706,80
tenpower_60xg_110s2p,70.44615928846252,0.0968174062439296,1.130207884260766,100.0,1.130207884260766,100.0,568.6405246556194,97
reliance_rs50_130s2p,70.51567074346244,0.0967831215953536,1.1294937441596582,100.0,1.1294937441596582,100.0,577.3204618490638,90
molicel_p30b_110s4p,70.57209052205505,0.0976780191222427,1.1182509362582262,100.0,1.1182509362582262,100.0,582.0125237180208,86
ampace_jp50_130s2p,70.59116168481819,0.0969088224945748,1.1268223465020544,100.0,1.1268223465020544,100.0,575.5944084773932,91
tenpower_50xg_130s2p,70.6819057319666,0.0967784417627836,1.1268918058674418,100.0,1.1268918058674418,100.0,574.0968878912037,93
molicel_p50b_130s2p,70.9338540980174,0.0952429669796646,1.1409920630298898,100.0,1.1409920630298898,100.0,582.7554091790113,84
tenpower_30xg_140s3p,71.29906689476039,0.0942524355220629,1.1470772568951415,100.0,1.1470772568951415,100.0,582.2846861733427,85
reliance_rs50_125s2p,71.34224853062902,0.092761669534634,1.164806396884244,100.0,1.164806396884244,100.0,567.5627358221109,98
ampace_jp30_140s3p,71.34984715005207,0.0943191499865693,1.145450091803423,100.0,1.145450091803423,100.0,579.0865391874743,88
ampace_jp50_125s2p,71.46126831917576,0.0926644187334755,1.1640868167056058,100.0,1.1640868167056058,100.0,565.4483370728967,100
tenpower_50xg_125s2p,71.50624581223641,0.0927228556305835,1.162621421920477,100.0,1.162621421920477,100.0,564.4474800329752,102
molicel_p30b_140s3p,71.57898664510526,0.0928413664430665,1.159957366055101,100.0,1.159957366055101,100.0,570.7638192459935,95
molicel_p50b_125s2p,71.76313440518757,0.0912076109047104,1.1777052675281712,100.0,1.1777052675281712,100.0,573.7463267514071,94
tenpower_30xg_135s3p,72.09346201024893,0.0904425532360413,1.1822257136980887,100.0,1.1822257136980887,100.0,574.1387748445047,92
reliance_rs50_120s2p,72.16376661531072,0.0887006622197995,1.2042677082994602,100.0,1.2042677082994602,100.0,557.8748628224671,106
ampace_jp30_135s3p,72.18106526722845,0.0904691029881645,1.1804443699885006,100.0,1.1804443699885006,100.0,570.430447559023,96
ampace_jp50_120s2p,72.31511937889661,0.0885889569824633,1.203262551789109,100.0,1.203262551789109,100.0,555.5015774704334,108
molicel_p30b_135s3p,72.33909504749074,0.0892394667660896,1.1940954914699644,100.0,1.1940954914699644,100.0,562.3809734884769,104
tenpower_50xg_120s2p,72.36233635400572,0.0886441695255238,1.20172844367868,100.0,1.20172844367868,100.0,554.5073972841326,110
molicel_p50b_120s2p,72.56944332266785,0.0872591853817614,1.2173182997649752,100.0,1.2173182997649752,100.0,565.0173029796127,101
tenpower_30xg_130s3p,72.83519609740219,0.0867610299857084,1.2198406556323291,100.0,1.2198406556323291,100.0,566.5751658916186,99
ampace_jp30_130s3p,72.88329141190145,0.0868211446482018,1.2181916328419844,100.0,1.2181916328419844,100.0,563.0926963350943,103
reliance_rs50_115s2p,73.04892490026607,0.0845521621456014,1.2480458782586323,100.0,1.2480458782586323,100.0,547.5714948335583,113
molicel_p30b_130s3p,73.05387189160793,0.0856125089980833,1.2325048390745796,100.0,1.2325048390745796,100.0,554.4542524290714,111
ampace_jp50_115s2p,73.1552352580849,0.0844799074250159,1.2472980864986494,100.0,1.2472980864986494,100.0,545.6935211438343,115
tenpower_50xg_115s2p,73.19254089728874,0.0845382490056098,1.2458020015980054,100.0,1.2458020015980054,100.0,544.8221880881324,118
molicel_p50b_115s2p,73.45813044130563,0.0831135260095932,1.2625759671459784,100.0,1.2625759671459784,100.0,555.5294699223602,107
tenpower_30xg_125s3p,73.64257683810835,0.0829594520246906,1.2617527076113553,100.0,1.2617527076113553,100.0,558.4293605931226,105
