candidate_id,cell_id,manufacturer,cell_model,series_cells,parallel_cells,total_cells,pack_mass_kg,vehicle_mass_kg,nominal_pack_energy_kwh,model_usable_energy_kwh,endurance_terminal_power_limit_kw,simulation_mode,event_slug,event_name,raw_simulated_time_s,projected_competition_time_s,event_winner_tmin_s,tmax_s,points,maximum_points,solver_converged,solver_iterations,maximum_speed_mps,maximum_achievable_terminal_power_kw,maximum_achievable_wheel_power_kw,active_limiter_at_peak_terminal_power
ampace_jp50_135s3p,ampace_jp50,Ampace,JP50P1 (JP50),135,3,405,36.45,259.33515114,7.2495,7.1452125,31.875,pack_aware_full_soc_80kw_terminal,autocross,Autocross,52.24204567258141,43.92225465810433,43.937,63.70864999999999,125.0,125.0,True,2,30.8732779394732,62.468883451751154,55.544521903548116,bus_current+motor_voltage
ampace_jp50_135s3p,ampace_jp50,Ampace,JP50P1 (JP50),135,3,405,36.45,259.33515114,7.2495,7.1452125,31.875,mass_isolated_common_80kw_curve,acceleration,Acceleration,4.249521856560609,3.693303374867842,3.697,5.5455000000000005,100.0,100.0,True,2,34.107697272118315,,80.0,common_vehicle_curve
ampace_jp50_135s3p,ampace_jp50,Ampace,JP50P1 (JP50),135,3,405,36.45,259.33515114,7.2495,7.1452125,31.875,mass_isolated_common_80kw_curve,skidpad,Skidpad,4.796605003337477,4.7784308351869775,4.782,5.9775,75.0,75.0,True,1,11.953051353638696,,80.0,common_vehicle_curve
ampace_jp50_135s3p,ampace_jp50,Ampace,JP50P1 (JP50),135,3,405,36.45,259.33515114,7.2495,7.1452125,31.875,mass_isolated_common_80kw_curve,autocross,Autocross,52.19229084544618,43.89828226751775,43.937,63.70864999999999,125.0,125.0,True,2,32.81992603190058,,80.0,common_vehicle_curve
tenpower_50xg_140s3p,tenpower_50xg,Tenpower,INR21700-50XG,140,3,420,39.375,262.26015114,7.56,7.40985,31.203125,pack_aware_full_soc_80kw_terminal,acceleration,Acceleration,4.310193430836436,3.7194281615999922,3.697,5.5455000000000005,98.27240424623938,100.0,True,2,31.675000260209867,64.78254141018913,57.61822378955744,bus_current+motor_voltage
tenpower_50xg_140s3p,tenpower_50xg,Tenpower,INR21700-50XG,140,3,420,39.375,262.26015114,7.56,7.40985,31.203125,pack_aware_full_soc_80kw_terminal,skidpad,Skidpad,4.802628618497106,4.784431627080003,4.782,5.9775,74.7981681137307,75.0,True,1,11.938059442529793,64.78254141018913,57.61822378955744,bus_current+motor_voltage
tenpower_50xg_140s3p,tenpower_50xg,Tenpower,INR21700-50XG,140,3,420,39.375,262.26015114,7.56,7.40985,31.203125,pack_aware_full_soc_80kw_terminal,autocross,Autocross,52.31043054751619,43.97974892068495,43.937,63.70864999999999,124.62885274968318,125.0,True,2,31.02735186968173,64.78254141018913,57.61822378955744,bus_current+motor_voltage
tenpower_50xg_140s3p,tenpower_50xg,Tenpower,INR21700-50XG,140,3,420,39.375,262.26015114,7.56,7.40985,31.203125,mass_isolated_common_80kw_curve,acceleration,Acceleration,4.256681932917804,3.699526271246999,3.697,5.5455000000000005,99.80435962358465,100.0,True,2,34.030270398695826,,80.0,common_vehicle_curve
tenpower_50xg_140s3p,tenpower_50xg,Tenpower,INR21700-50XG,140,3,420,39.375,262.26015114,7.56,7.40985,31.203125,mass_isolated_common_80kw_curve,skidpad,Skidpad,4.802628618497106,4.784431627080003,4.782,5.9775,74.7981681137307,75.0,True,1,11.938059442529793,,80.0,common_vehicle_curve
tenpower_50xg_140s3p,tenpower_50xg,Tenpower,INR21700-50XG,140,3,420,39.375,262.26015114,7.56,7.40985,31.203125,mass_isolated_common_80kw_curve,autocross,Autocross,52.26969162165052,43.9633830911548,43.937,63.70864999999999,124.7708560413017,125.0,True,2,32.7475427256083,,80.0,common_vehicle_curve
tenpower_60xg_115s3p,tenpower_60xg,Tenpower,INR21700-60XG,115,3,345,32.775,255.66015114,7.452,7.303995,29.265625,pack_aware_full_soc_80kw_terminal,acceleration,Acceleration,4.3670172354945365,3.768463561677984,3.697,5.5455000000000005,94.56693421983735,100.0,True,2,29.99757636862877,52.027793772880834,46.176710175955456,bus_current+motor_voltage
tenpower_60xg_115s3p,tenpower_60xg,Tenpower,INR21700-60XG,115,3,345,32.775,255.66015114,7.452,7.303995,29.265625,pack_aware_full_soc_80kw_terminal,skidpad,Skidpad,4.788981218621004,4.7708359367234445,4.782,5.9775,75.0,75.0,True,1,11.972079929042328,52.027793772880834,46.176710175955456,bus_current+motor_voltage
tenpower_60xg_115s3p,tenpower_60xg,Tenpower,INR21700-60XG,115,3,345,32.775,255.66015114,7.452,7.303995,29.265625,pack_aware_full_soc_80kw_terminal,autocross,Autocross,52.218588265018994,43.902532952812905,43.937,63.70864999999999,125.0,125.0,True,2,29.670993924016262,52.027793772880834,46.176710175955456,bus_current+motor_voltage
tenpower_60xg_115s3p,tenpower_60xg,Tenpower,INR21700-60XG,115,3,345,32.775,255.66015114,7.452,7.303995,29.265625,mass_isolated_common_80kw_curve,acceleration,Acceleration,4.240524824427334,3.6854839612342074,3.697,5.5455000000000005,100.0,100.0,True,2,34.205922894687895,,80.0,common_vehicle_curve
tenpower_60xg_115s3p,tenpower_60xg,Tenpower,INR21700-60XG,115,3,345,32.775,255.66015114,7.452,7.303995,29.265625,mass_isolated_common_80kw_curve,skidpad,Skidpad,4.788981218621004,4.7708359367234445,4.782,5.9775,75.0,75.0,True,1,11.972079929042328,,80.0,common_vehicle_curve
tenpower_60xg_115s3p,tenpower_60xg,Tenpower,INR21700-60XG,115,3,345,32.775,255.66015114,7.452,7.303995,29.265625,mass_isolated_common_80kw_curve,autocross,Autocross,52.09437832249883,43.81592927054746,43.937,63.70864999999999,125.0,125.0,True,2,32.93093330517657,,80.0,common_vehicle_curve
reliance_rs50_135s3p,reliance_rs50,Reliance,INR21700-RS50,135,3,405,33.91875,256.80390114,7.29,7.1452125,29.0703125,pack_aware_full_soc_80kw_terminal,acceleration,Acceleration,4.3058360031418275,3.715667973214127,3.697,5.5455000000000005,98.56058873817486,100.0,True,2,31.517126331139202,62.468883451751154,55.544521903548116,bus_current+motor_voltage
reliance_rs50_135s3p,reliance_rs50,Reliance,INR21700-RS50,135,3,405,33.91875,256.80390114,7.29,7.1452125,29.0703125,pack_aware_full_soc_80kw_terminal,skidpad,Skidpad,4.791360749452055,4.773206451595622,4.782,5.9775,75.0,75.0,True,1,11.966134241628533,62.468883451751154,55.544521903548116,bus_current+motor_voltage
reliance_rs50_135s3p,reliance_rs50,Reliance,INR21700-RS50,135,3,405,33.91875,256.80390114,7.29,7.1452125,29.0703125,pack_aware_full_soc_80kw_terminal,autocross,Autocross,52.174170338048405,43.865188789224554,43.937,63.70864999999999,125.0,125.0,True,2,30.93685931670206,62.468883451751154,55.544521903548116,bus_current+motor_voltage
reliance_rs50_135s3p,reliance_rs50,Reliance,INR21700-RS50,135,3,405,33.91875,256.80390114,7.29,7.1452125,29.0703125,mass_isolated_common_80kw_curve,acceleration,Acceleration,4.243325070291728,3.687917683862427,3.697,5.5455000000000005,100.0,100.0,True,2,34.175240548374354,,80.0,common_vehicle_curve
