candidate_id,cell_id,manufacturer,cell_model,series_cells,parallel_cells,total_cells,pack_mass_kg,vehicle_mass_kg,nominal_pack_energy_kwh,model_usable_energy_kwh,endurance_terminal_power_limit_kw,terminal_energy_kwh,terminal_discharge_energy_kwh,terminal_regenerated_energy_kwh,pack_resistive_heat_kwh,regen_pack_resistive_heat_kwh,regen_active_rms_terminal_power_kw,regen_whole_event_rms_terminal_power_kw,regen_active_rms_error_kw,peak_pack_charge_current_a,maximum_terminal_voltage_v,adiabatic_cell_temperature_rise_c,raw_endurance_time_s,projected_endurance_time_s,endurance_points,projected_average_lap_s,projected_terminal_energy_kwh_per_lap,efficiency_factor,efficiency_points
tenpower_50xg_115s3p,tenpower_50xg,Tenpower,INR21700-50XG,115,3,345,32.34375,255.22890114,6.21,6.086662499999999,29.03125,5.270301565209813,5.912136674783046,0.6418351095732319,0.3187462621665172,0.010328860279769,8.815120044670547,4.167791368839745,0.2408529022605847,25.322849381470803,482.99998829970014,44.34730604055892,1256.364605573639,1327.246326508929,265.9169822743603,65.93545324345175,0.13214019548072306,0.8847389675540615,100.0
ampace_jp30_115s5p,ampace_jp30,Ampace,JP30P1 (JP30),115,5,575,35.9375,258.82265114,6.348,6.086662499999999,29.7421875,5.344796778938332,5.994258033224956,0.6494612542866239,0.2411579794648815,0.0078895090020467,8.814783065418853,4.189960291048665,0.2405159230088909,25.463774381215384,482.999990415574,30.19717308081995,1256.6004424729954,1327.495468881245,265.76750149479386,65.94783023400178,0.13400798463522715,0.8722438369946042,100.0
molicel_p30b_115s5p,molicel_p30b,Molicel,INR-18650-P30B,115,5,575,33.78125,256.66640114,6.21,6.086662499999999,28.015625,5.199927992631016,5.829307028871624,0.6293790362406089,0.3887805811210951,0.0125047433199762,8.803559589330236,4.114838151357349,0.2292924469202741,25.18280322587524,482.99998621239456,51.78945761465096,1261.7026602192705,1332.8855441275148,262.5472390973569,66.21560046420008,0.1303757466114924,0.8929187990009633,100.0
molicel_p50b_115s3p,molicel_p50b,Molicel,INR-21700-P50B,115,3,345,30.61875,253.50390114,6.21,6.086662499999999,27.0,5.102261226278928,5.719407238164732,0.6171460118858031,0.4782365429029447,0.0151684175319551,8.728422822227254,4.061448553634796,0.1541556798172916,24.995388325036,482.9999834507885,70.28583606656875,1263.6136877678248,1334.9043882452368,261.3477892147787,66.31589337838729,0.127926986243978,0.9086346689690578,100.0
tenpower_30xg_140s4p,tenpower_30xg,Tenpower,INR18650-30XG,140,4,560,33.6,256.48515114,6.048,5.92788,28.015625,5.199945960913441,5.834345603026144,0.6343996421127025,0.2283289137483883,0.0079271999911226,8.843426690750166,4.139352692865703,0.2691595483402036,20.891162169575967,587.999985527205,30.579765234159154,1261.7556174558383,1332.941489111467,262.51395172241826,66.21837972061986,0.13037619712316098,0.8928782369123219,100.0
tenpower_60xg_140s2p,tenpower_60xg,Tenpower,INR21700-60XG,140,2,280,26.6,249.48515114,6.048,5.92788,26.015625,4.986579774825684,5.599816148854697,0.613236374029013,0.4428811539366976,0.0148585873248666,8.736519000864837,4.046208358959961,0.1622518584548746,20.53570271780612,587.9999758634339,74.92350348553154,1265.2261925634648,1336.6078675194829,260.3385246669604,66.40051947664419,0.12502655077185393,0.9285287804658758,100.0
reliance_rs50_110s3p,reliance_rs50,Reliance,INR21700-RS50,110,3,330,27.637500000000003,250.52265114,5.94,5.822025,26.5078125,5.032181669820048,5.653877570537669,0.6216959007176217,0.2931529661599316,0.0104395855163443,8.82659115194289,4.091775566400209,0.2523240095329289,26.413100163938388,461.99998889298064,47.73182624042305,1263.4678266022838,1334.7502978679006,261.43921057306903,66.30823841738481,0.1261699091251262,0.9213949254189994,100.0
ampace_jp30_140s4p,ampace_jp30,Ampace,JP30P1 (JP30),140,4,560,35.0,257.88515114,6.1824,5.92788,27.9140625,5.198730577418324,5.833401584692497,0.6346710072741737,0.2275383071201732,0.0079269111988954,8.839720332020693,4.136928226472873,0.2654531896107315,20.88840706157023,587.9999855875915,29.25492520116513,1263.344587143553,1334.6201054713974,261.5164697842839,66.30177066946129,0.13034572429145644,0.8919636993968886,100.0
ampace_jp50_110s3p,ampace_jp50,Ampace,JP50P1 (JP50),110,3,330,29.7,252.58515114,5.907,5.822025,26.3671875,5.028407311473891,5.650793716366725,0.6223864048928337,0.2915366744713081,0.0104435457035982,8.82374142418087,4.0893506570811935,0.2494742817709081,26.404299721829247,461.9999888746491,44.17222340474367,1265.8755625595986,1337.2938737457728,259.93281110315803,66.43459915767615,0.1260752761248122,0.9203326928303182,100.0
tenpower_50xg_110s3p,tenpower_50xg,Tenpower,INR21700-50XG,110,3,330,30.9375,253.82265114,5.94,5.822025,26.296875,5.027679938726483,5.650283468975303,0.6226035302488182,0.2908186915275521,0.0104409043165367,8.819328842604948,4.086749990779747,0.2450617001949862,26.40179027333756,461.9999889752254,42.300900585825765,1267.2491735697204,1338.7449812977911,259.0759760414653,66.50668783649658,0.12605703899438606,0.9194681189985329,100.0
