parameter,parameter_label,parameter_group,metric,metric_display_name,pearson_r,abs_pearson_r,rank_within_metric
air_density_kg_m3,air density,environment/aero,mean_max_lateral_g,mean lat,-0.037482190821658545,0.037482190821658545,16
air_density_kg_m3,air density,environment/aero,mean_max_accel_g,mean accel,-0.1074149823739476,0.1074149823739476,11
air_density_kg_m3,air density,environment/aero,mean_max_brake_g,mean brake,0.18096701713346086,0.18096701713346086,10
air_density_kg_m3,air density,environment/aero,mean_ggv_area_g2,mean area,0.07956959535291336,0.07956959535291336,19
cl_a_m2,downforce area,aero,max_lateral_g__05mps,lat 5,-0.02741808880085053,0.02741808880085053,17
cl_a_m2,downforce area,aero,max_accel_g__05mps,accel 5,-0.13078015446536378,0.13078015446536378,7
cl_a_m2,downforce area,aero,max_brake_g__05mps,brake 5,0.03989444992199219,0.03989444992199219,19
cl_a_m2,downforce area,aero,ggv_area_g2__05mps,area 5,-0.08885981797352145,0.08885981797352145,14
cl_a_m2,downforce area,aero,max_lateral_g__10mps,lat 10,0.09248327786460582,0.09248327786460582,15
cl_a_m2,downforce area,aero,max_accel_g__10mps,accel 10,-0.11139828365038248,0.11139828365038248,11
cl_a_m2,downforce area,aero,max_brake_g__10mps,brake 10,0.12647383418077238,0.12647383418077238,10
cl_a_m2,downforce area,aero,ggv_area_g2__10mps,area 10,0.05312397502354394,0.05312397502354394,15
cl_a_m2,downforce area,aero,max_lateral_g__15mps,lat 15,0.3573334071510035,0.3573334071510035,3
cl_a_m2,downforce area,aero,max_accel_g__15mps,accel 15,-0.14259672117876301,0.14259672117876301,9
cl_a_m2,downforce area,aero,max_brake_g__15mps,brake 15,0.26383532069223975,0.26383532069223975,6
cl_a_m2,downforce area,aero,ggv_area_g2__15mps,area 15,0.25685126383735085,0.25685126383735085,4
cl_a_m2,downforce area,aero,max_lateral_g__20mps,lat 20,0.5231769768405603,0.5231769768405603,1
cl_a_m2,downforce area,aero,max_accel_g__20mps,accel 20,-0.1848366074819282,0.1848366074819282,6
cl_a_m2,downforce area,aero,max_brake_g__20mps,brake 20,0.40140517755525307,0.40140517755525307,3
cl_a_m2,downforce area,aero,ggv_area_g2__20mps,area 20,0.4590660348656646,0.4590660348656646,2
cl_a_m2,downforce area,aero,max_lateral_g__25mps,lat 25,0.6653058478907043,0.6653058478907043,1
