case_id,parameter,level,value,max_lateral_g__05mps,max_accel_g__05mps,max_brake_g__05mps,ggv_area_g2__05mps,max_lateral_g__10mps,max_accel_g__10mps,max_brake_g__10mps,ggv_area_g2__10mps,max_lateral_g__15mps,max_accel_g__15mps,max_brake_g__15mps,ggv_area_g2__15mps,max_lateral_g__20mps,max_accel_g__20mps,max_brake_g__20mps,ggv_area_g2__20mps,max_lateral_g__25mps,max_accel_g__25mps,max_brake_g__25mps,ggv_area_g2__25mps,mean_max_lateral_g,mean_max_accel_g,mean_max_brake_g,mean_ggv_area_g2
max_brake_force_n_high,max_brake_force_n,high,18000.0,1.6,1.4349999999999998,1.6800000000000002,6.750266666666667,1.6533333333333335,1.4175,1.76,7.203333333333334,1.76,1.3825,1.8800000000000001,7.963866666666668,1.9200000000000002,1.33,2.06,9.0212,2.08,1.0675000000000001,2.28,9.950933333333335,1.8026666666666666,1.3265,1.932,8.17792
brake_distribution_front_low,brake_distribution_front,low,0.54,1.6,1.4349999999999998,1.54,6.487866666666667,1.6533333333333335,1.4175,1.62,6.923866666666667,1.76,1.3825,1.7200000000000002,7.660933333333334,1.9200000000000002,1.33,1.8800000000000001,8.670266666666667,2.08,1.0675000000000001,2.1,9.525333333333336,1.8026666666666666,1.3265,1.7720000000000002,7.853653333333336
brake_distribution_front_high,brake_distribution_front,high,0.7,1.6,1.4349999999999998,1.8600000000000003,7.0372,1.6533333333333335,1.4175,1.9400000000000002,7.5116000000000005,1.76,1.3825,2.08,8.316933333333333,1.9200000000000002,1.33,2.2600000000000002,9.419066666666668,2.08,1.0675000000000001,2.5000000000000004,10.424533333333336,1.8026666666666666,1.3265,2.128,8.541866666666667
longitudinal_mu_scale_low,longitudinal_mu_scale,low,0.9,1.6,1.4349999999999998,1.6,6.602,1.6533333333333335,1.4175,1.6800000000000002,7.047600000000001,1.76,1.3825,1.8,7.806,1.9200000000000002,1.33,1.96,8.826,2.08,1.0675000000000001,2.18,9.717333333333336,1.8026666666666666,1.3265,1.844,7.999786666666668
longitudinal_mu_scale_high,longitudinal_mu_scale,high,1.1,1.6,1.4349999999999998,1.76,6.876133333333334,1.6533333333333335,1.4175,1.8399999999999999,7.333466666666667,1.76,1.3825,1.96,8.114266666666666,1.9200000000000002,1.33,2.14,9.1908,2.08,1.0675000000000001,2.3600000000000003,10.141866666666669,1.8026666666666666,1.3265,2.0119999999999996,8.331306666666666
longitudinal_load_sensitivity_scale_low,longitudinal_load_sensitivity_scale,low,0.5,1.6,1.4349999999999998,1.6400000000000001,6.663866666666667,1.6533333333333335,1.4175,1.7200000000000002,7.118000000000001,1.76,1.3825,1.8399999999999999,7.878533333333334,1.9200000000000002,1.33,2.02,8.929466666666666,2.08,1.0675000000000001,2.2399999999999998,9.846400000000003,1.8026666666666666,1.3265,1.8920000000000001,8.087253333333333
longitudinal_load_sensitivity_scale_high,longitudinal_load_sensitivity_scale,high,1.5,1.6,1.4349999999999998,1.74,6.828133333333334,1.6533333333333335,1.4175,1.8,7.2822666666666676,1.76,1.3825,1.9200000000000002,8.056666666666668,1.9200000000000002,1.33,2.1,9.109733333333335,2.08,1.0675000000000001,2.3200000000000003,10.049066666666668,1.8026666666666666,1.3265,1.9760000000000002,8.265173333333333
lateral_mu_scale_low,lateral_mu_scale,low,0.9,1.4933333333333334,1.4349999999999998,1.6800000000000002,6.303733333333333,1.5466666666666666,1.4175,1.76,6.727866666666667,1.6533333333333335,1.3825,1.8800000000000001,7.4530666666666665,1.76,1.33,2.06,8.435466666666667,1.9200000000000002,1.0675000000000001,2.28,9.265466666666667,1.6746666666666665,1.3265,1.932,7.63712
lateral_mu_scale_high,lateral_mu_scale,high,1.1,1.7066666666666668,1.4349999999999998,1.6800000000000002,7.1576,1.76,1.4175,1.76,7.642666666666666,1.866666666666667,1.3825,1.8800000000000001,8.453333333333335,2.026666666666667,1.33,2.06,9.623733333333334,2.2399999999999998,1.0675000000000001,2.28,10.5396,1.9200000000000004,1.3265,1.932,8.683386666666667
lateral_load_sensitivity_scale_low,lateral_load_sensitivity_scale,low,0.5,1.5466666666666666,1.4349999999999998,1.6800000000000002,6.582133333333334,1.6,1.4175,1.76,7.023466666666667,1.7066666666666668,1.3825,1.8800000000000001,7.7901333333333325,1.866666666666667,1.33,2.06,8.898000000000001,2.08,1.0675000000000001,2.28,9.837733333333334,1.7600000000000002,1.3265,1.932,8.026293333333333
lateral_load_sensitivity_scale_high,lateral_load_sensitivity_scale,high,1.5,1.6,1.4349999999999998,1.6800000000000002,6.860799999999999,1.6533333333333335,1.4175,1.76,7.318133333333333,1.76,1.3825,1.8800000000000001,8.095866666666668,1.9200000000000002,1.33,2.06,9.201866666666666,2.08,1.0675000000000001,2.28,10.065066666666667,1.8026666666666666,1.3265,1.932,8.308346666666667
