speed_mps,ay_mps2,ax_accel_mps2,ax_brake_mps2,accel_feasible,brake_feasible
5.000000000000000000e+00,1.307553333333333256e+01,3.260711124999999821e+00,-6.080123000000000388e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.359855466666666679e+01,2.231012874999999784e+00,-5.295591000000001713e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.412157600000000102e+01,1.201314624999999969e+00,-4.707191999999999155e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.464459733333333347e+01,1.716163749999999877e-01,-3.922660000000000480e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.516761866666666592e+01,nan,-3.138127999999998252e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.569064000000000014e+01,nan,-2.157462999999999909e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.621366133333333437e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.673668266666666682e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.725970399999999927e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.778272533333333172e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.830574666666666772e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.882876800000000017e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.935178933333333262e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.987481066666666862e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.039783200000000107e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.092085333333333352e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.144387466666666597e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.196689599999999842e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.248991733333333443e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.301293866666666688e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.353595999999999933e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.405898133333333533e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.458200266666666778e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.510502400000000023e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.562804533333333268e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.615106666666666513e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.667408800000000113e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.719710933333333358e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.772013066666666603e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.824315200000000203e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
