parameter,parameter_label,parameter_group,parameter_unit,metric,metric_display_name,parameter_low,parameter_baseline,parameter_high,response_low,response_baseline,response_high,signed_response_span,slope_per_unit,signed_effect_pct_span,abs_effect_pct_span,low_delta_from_baseline_pct,high_delta_from_baseline_pct,direction,rank_within_metric
aero_balance_front,front aero balance,aero balance,front fraction,ggv_area_g2__25mps,area 25,0.42,0.5,0.58,10.016266666666668,9.950933333333335,9.736933333333337,-0.2793333333333319,-1.7458333333333245,-2.8071068710472566,2.8071068710472566,0.6565548290277619,-2.150552042019495,decreases_with_parameter,13
aero_balance_front,front aero balance,aero balance,front fraction,mean_max_lateral_g,mean lat,0.42,0.5,0.58,1.8026666666666666,1.8026666666666666,1.7920000000000003,-0.01066666666666638,-0.06666666666666489,-0.5917159763313451,0.5917159763313451,0.0,-0.5917159763313451,decreases_with_parameter,11
aero_balance_front,front aero balance,aero balance,front fraction,mean_max_accel_g,mean accel,0.42,0.5,0.58,1.3265,1.3265,1.3265,0.0,0.0,0.0,0.0,0.0,0.0,flat,14
aero_balance_front,front aero balance,aero balance,front fraction,mean_max_brake_g,mean brake,0.42,0.5,0.58,1.9720000000000002,1.932,1.8960000000000001,-0.07600000000000007,-0.4750000000000005,-3.933747412008285,3.933747412008285,2.070393374741214,-1.863354037267071,decreases_with_parameter,8
aero_balance_front,front aero balance,aero balance,front fraction,mean_ggv_area_g2,mean area,0.42,0.5,0.58,8.210933333333333,8.17792,8.11288,-0.09805333333333266,-0.6128333333333292,-1.1990008869410884,1.1990008869410884,0.4036886315020555,-0.795312255439033,decreases_with_parameter,18
max_drive_power_w,max drive power,powertrain,W,max_lateral_g__05mps,lat 5,60000.0,80000.0,100000.0,1.6,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,flat,14
max_drive_power_w,max drive power,powertrain,W,max_accel_g__05mps,accel 5,60000.0,80000.0,100000.0,1.4349999999999998,1.4349999999999998,1.4349999999999998,0.0,0.0,0.0,0.0,0.0,0.0,flat,14
max_drive_power_w,max drive power,powertrain,W,max_brake_g__05mps,brake 5,60000.0,80000.0,100000.0,1.6800000000000002,1.6800000000000002,1.6800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,flat,15
max_drive_power_w,max drive power,powertrain,W,ggv_area_g2__05mps,area 5,60000.0,80000.0,100000.0,6.750266666666667,6.750266666666667,6.750266666666667,0.0,0.0,0.0,0.0,0.0,0.0,flat,19
max_drive_power_w,max drive power,powertrain,W,max_lateral_g__10mps,lat 10,60000.0,80000.0,100000.0,1.6533333333333335,1.6533333333333335,1.6533333333333335,0.0,0.0,0.0,0.0,0.0,0.0,flat,14
max_drive_power_w,max drive power,powertrain,W,max_accel_g__10mps,accel 10,60000.0,80000.0,100000.0,1.4175,1.4175,1.4175,0.0,0.0,0.0,0.0,0.0,0.0,flat,13
max_drive_power_w,max drive power,powertrain,W,max_brake_g__10mps,brake 10,60000.0,80000.0,100000.0,1.76,1.76,1.76,0.0,0.0,0.0,0.0,0.0,0.0,flat,15
