stage,variant_id,maneuver,speed_m_per_s,ax_g,dz_front_mm,dz_rear_mm,rh_front_m,rh_rear_m,downforce_n,aero_front_fraction,fz_front_n,fz_rear_n,sigma_fz_front_n,sigma_fz_rear_n,grip_n,rh_clamped,weight
anti-dive,front04_ad+53,braking,25.0,0.5,-3.513682001342761,4.998216884595706,0.055703550311460896,0.07803287463831009,910.5171737669339,0.50175245440577,962.8724717932217,772.5101722412861,5.964755965309205,1.319495160148709,8263.127039509724,False,0.08333333333333333
anti-dive,front04_ad+53,braking,25.0,1.0,-7.027364002685522,9.996433769191412,0.051998270739814265,0.0827925789270862,927.9036431061495,0.500276256173389,1082.059555942047,662.0163227620687,11.92951193061841,2.638990320297418,8156.571293007923,False,0.08333333333333333
anti-dive,front04_ad+53,braking,25.0,1.4,-9.83830960375973,13.995007276867977,0.04989559083157517,0.08679451978034718,900.5772181588873,0.4852702991812098,1160.8752573969314,569.5374088335531,16.70131670286577,3.6945864484163855,7948.654858750393,False,0.08333333333333333
anti-dive,front05_ad+72,braking,10.0,0.5,-2.651252808359389,4.998216884595706,0.06656554616604238,0.08709625637979629,145.47969352266483,0.5021251512554411,770.9698649924713,581.894038919902,8.018105633319577,1.319495160148709,6927.207970688444,False,0.08333333333333333
anti-dive,front05_ad+72,braking,10.0,1.0,-5.302505616718778,9.996433769191412,0.06388932512699595,0.09207026383266674,147.45634806044845,0.5018932675866913,886.9591497878798,466.8930813933853,16.036211266639153,2.638990320297418,6796.684916634744,False,0.08333333333333333
anti-dive,front05_ad+72,braking,10.0,1.4,-7.423507863406289,13.995007276867977,0.06176202431861965,0.09605359023436633,148.33943835777336,0.5005351357245131,979.4881198069121,374.8056565230155,22.45069577329481,3.6945864484163855,6617.792390749413,False,0.08333333333333333
anti-dive,front05_ad+72,braking,15.0,0.5,-2.651252808359389,4.998216884595706,0.06415922388941142,0.0849349034308483,328.75240734184814,0.5031413163075779,817.149817919771,627.350442902194,8.018105633319577,1.319495160148709,7272.4555828009325,False,0.08333333333333333
anti-dive,front05_ad+72,braking,15.0,1.0,-5.302505616718778,9.996433769191412,0.06146148394014263,0.0898815884537834,332.704265756274,0.5025279631476126,933.5520741111616,512.9241159180164,16.036211266639153,2.638990320297418,7145.206085982358,False,0.08333333333333333
anti-dive,front05_ad+72,braking,15.0,1.4,-7.423507863406289,13.995007276867977,0.05933429366886611,0.09384833308526738,334.28059099665677,0.5008687653540971,1026.0789227982257,421.18542985114357,22.45069577329481,3.6945864484163855,6967.717343650307,False,0.08333333333333333
anti-dive,front05_ad+72,braking,20.0,0.5,-2.651252808359389,4.998216884595706,0.060789035207111826,0.08190872441816008,585.3975257223711,0.5035281329195265,881.8274200064877,690.9954000057387,8.018105633319577,1.319495160148709,7729.040798973728,False,0.08333333333333333
anti-dive,front05_ad+72,braking,20.0,1.0,-5.302505616718778,9.996433769191412,0.057976014003904765,0.08678975666426271,596.5356777529704,0.5045350324663405,1000.4420493818631,577.949846645663,16.036211266639153,2.638990320297418,7612.516812750084,False,0.08333333333333333
anti-dive,front05_ad+72,braking,20.0,1.4,-7.423507863406289,13.995007276867977,0.055864634914795284,0.09073822587244613,598.2738529213783,0.5024518258358188,1092.6654642261474,486.59551938558275,22.45069577329481,3.6945864484163855,7435.247489556289,False,0.08333333333333333
anti-dive,front05_ad+72,braking,25.0,0.5,-2.651252808359389,4.998216884595706,0.056599384912015285,0.0780560708010385,908.2593030053054,0.5015880957060193,962.2313855359935,772.0223231177001,8.018105633319577,1.319495160148709,8259.593869973136,False,0.08333333333333333
anti-dive,front05_ad+72,braking,25.0,1.0,-5.302505616718778,9.996433769191412,0.05336037010589889,0.08276915021746183,942.8126062668397,0.507133274147614,1089.0212975725242,662.5090627119365,16.036211266639153,2.638990320297418,8174.290105641479,False,0.08333333333333333
anti-dive,front05_ad+72,braking,25.0,1.4,-7.423507863406289,13.995007276867977,0.05173956071748574,0.08675220825077765,924.2667369377757,0.4965375581486975,1171.830143669633,570.4272819502959,22.45069577329481,3.6945864484163855,7973.84169823944,False,0.08333333333333333
anti-dive,front06_ad+90,braking,10.0,0.5,-1.789479032096365,4.998216884595706,0.06743299476799293,0.08709979285437573,145.11312690057136,0.5018925749525749,770.8609588949134,581.8196617064131,10.06989482573835,1.319495160148709,6926.442655772091,False,0.08333333333333333
anti-dive,front06_ad+90,braking,10.0,1.0,-3.57895806419273,9.996433769191412,0.06561806239108198,0.09207548085769565,147.03771230596038,0.5019675206406455,886.8595535540982,466.78335974992297,20.1397896514767,2.638990320297418,6795.587027440928,False,0.08333333333333333
anti-dive,front06_ad+90,braking,10.0,1.4,-5.010541289869821,13.995007276867977,0.06417538943558457,0.09605882509985274,148.1039476797939,0.5012277194886745,979.4804713224655,374.6955596684723,28.195705512067377,3.6945864484163855,6616.666490920551,False,0.08333333333333333
anti-dive,front06_ad+90,braking,15.0,0.5,-1.789479032096365,4.998216884595706,0.06503694799298904,0.08494383672969331,327.7644383327966,0.5027900872937984,816.8437137157146,627.1625626017246,10.06989482573835,1.319495160148709,7270.6079580603855,False,0.08333333333333333
anti-dive,front06_ad+90,braking,15.0,1.0,-3.57895806419273,9.996433769191412,0.06320291291006204,0.08989520581993958,331.4451517506302,0.5023662836856619,933.2089101759476,512.6377228504084,20.1397896514767,2.638990320297418,7142.652101787708,False,0.08333333333333333
anti-dive,front06_ad+90,braking,15.0,1.4,-5.010541289869821,13.995007276867977,0.061756755480346696,0.09386268760312781,333.31235013866353,0.5012303289954718,1025.8966988101872,420.8835334101856,28.195705512067377,3.6945864484163855,6965.2446938605435,False,0.08333333333333333
anti-dive,front06_ad+90,braking,20.0,0.5,-1.789479032096365,4.998216884595706,0.06167868574379309,0.08192482165118187,583.6504581936024,0.5032021273257464,881.2924345239734,690.6568517238687,10.06989482573835,1.319495160148709,7726.036792745621,False,0.08333333333333333
anti-dive,front06_ad+90,braking,20.0,1.0,-3.57895806419273,9.996433769191412,0.05974776121915113,0.08681900461758188,593.4554153038035,0.5040364137752629,999.5170452432696,577.3347195596731,20.1397896514767,2.638990320297418,7607.201129581663,False,0.08333333333333333
anti-dive,front06_ad+90,braking,20.0,1.4,-5.010541289869821,13.995007276867977,0.058316768367367385,0.09077052014118642,595.4121513917804,0.5023419133297399,1091.9138090260208,485.91632382091024,28.195705512067377,3.6945864484163855,7429.87218966619,False,0.08333333333333333
anti-dive,front06_ad+90,braking,25.0,0.5,-1.789479032096365,4.998216884595706,0.0574946562061466,0.07807927315002368,905.9976366353037,0.5014211162608105,961.5885315808048,771.534343887888,10.06989482573835,1.319495160148709,8256.036878295457,False,0.08333333333333333
anti-dive,front06_ad+90,braking,25.0,1.0,-3.57895806419273,9.996433769191412,0.05517477876606452,0.08282039213180889,937.1697739647975,0.5064655404067372,1087.2775736226208,661.4313705108189,20.1397896514767,2.638990320297418,8165.797951483287,False,0.08333333333333333
